Название тура,Регион,Сезон,Кол-во туристов,Длительность,Цена,Оценка
Ольхон — сердце Байкала,Байкал,Лето,8,16,590720.0,5
Байкал: активный тур на круглый год,Байкал,Зима,13,8,513760.0,4
Зимние кочевники Байкала,Байкал,Зима,10,11,505900.0,5
Сибирские каникулы,Сибирь,Зима,12,6,367968.0,5
Центр России: экскурсии по Туле,Тульская область,Осень,10,14,481920.00000000006,4
Путешествие в древность. Тур в Ульяновскую область,Ульяновская область,Осень,12,6,316416.0,2
Нижегородские загадки.,Нижегородская область,Зима,5,7,144710.00000000003,5
Центр России: экскурсии по Туле,Тульская область,Осень,12,3,218208.0,2
Город-герой: исторические маршруты в Новороссийске ,Краснодарский край,Весна,12,12,517439.9999999999,5
Долина гейзеров и вулканов Камчатки,Камчатка,Осень,10,4,268640.0,1
Невская улица: гастрономический тур по Санкт-Петербургу,Санкт-Петербург,Весна,6,18,371040.0,3
Невская улица: гастрономический тур по Санкт-Петербургу,Санкт-Петербург,Весна,7,10,271600.0,5
Камчатка: осенние пейзажи и активный отдых,Камчатка,Осень,13,12,787696.0,5
Активный треккинг на Байкале,Байкал,Лето,9,12,520920.0,3
Жигулёвские выходные. Национальный туристский маршрут по Самарской области,Самара,Лето,3,17,179226.0,1
Живописный каскад Поволжья,Нижегородская область,Осень,6,19,370992.0,1
Тайны Урала: золотое кольцо Урала,Свердловская область,Осень,4,17,233936.0,5
Исторические городки Поволжья,Татарстан,Весна,5,9,174200.0,5
Активный треккинг на Байкале,Байкал,Лето,7,21,656530.0,3
Пять колец Кавказа. Экскурсионный тур,Кавказ,Зима,1,7,32386.0,4
Зимние узоры Байкала,Байкал,Зима,12,9,518520.0,4
"Костромская область: говорят, что здесь живут сказки",Костромская область,Весна,10,17,548800.0,4
Большое путешествие по Смоленской земле,Смоленская область,Лето,14,5,344820.0,3
Кострома и ее усадьбы: время путешествий,Костромская область,Весна,10,3,179200.0,5
Походы по осенним тропам Кавказа,Краснодарский край,Осень,13,20,871520.0,5
Тайга и народные традиции Сибири,Алтай,Осень,11,11,500104.0,5
Нижегородские загадки.,Нижегородская область,Осень,8,21,538304.0,5
Походы по осенним тропам Кавказа,Краснодарский край,Осень,10,3,185560.0,2
Зимние узоры Байкала,Байкал,Зима,11,16,759440.0,4
Золотое кольцо России: традиции и ремесла,Золотое кольцо,Осень,11,16,590128.0,4
Природа и культура Вологодчины,Вологодская область,Лето,1,18,62668.0,5
Северный Кавказ: культурные традиции и активные приключения,Кавказ,Лето,5,14,292060.0,4
Саяны: осенние краски,Республика Тыва,Осень,7,8,264432.0,4
Кочевники Байкала,Байкал,Лето,6,3,131820.0,5
Камчатка: природа и активные виды отдыха,Камчатка,Лето,11,9,557678.0,4
Водный мир Приладожья,Карелия,Лето,13,3,264862.0,3
Ледниковый период на зимнем Байкале,Байкал,Зима,12,11,607080.0,4
Сказочная осень в Татарстане,Татарстан,Осень,5,16,278160.0,2
Золотая моя Казань. Летний тур на 3 дня,Татарстан,Лето,13,14,686738.0,3
Тайны Забайкалья: природа и история,Забайкальский край,Зима,1,11,47883.99999999999,2
Путешествие в древность. Тур в Ульяновскую область,Ульяновская область,Осень,5,19,309160.0,5
Загадочная Москва: исторический тур,Москва,Весна,3,12,120720.0,4
Пробуждение природы в Санкт-Петербурге,Санкт-Петербург,Весна,4,14,201280.0,2
Походы по осенним тропам Кавказа,Краснодарский край,Осень,11,21,768812.0,4
Горнолыжка для начинающих. Активный тур на Домбай,Домбай,Зима,11,20,813560.0,4
Северное сияние осенью: Мурманск,Мурманская область,Осень,9,11,409176.0,5
Знакомство с Сахалином,Сахалин,Лето,6,15,443040.0,3
Живописный каскад Поволжья,Нижегородская область,Осень,2,20,129120.0,2
Золотая моя Казань. Летний тур на 3 дня,Татарстан,Лето,1,6,28354.0,4
Горнолыжка для начинающих. Активный тур на Домбай,Домбай,Зима,14,7,453404.0,3
Восхождение на Белуху за 10 дней,Алтай,Лето,3,6,92244.0,3
Вкусы Енисейской Сибири. Гастрономический тур,Сибирь,Лето,2,3,42344.0,4
Нижегородские усадьбы,Нижегородская область,Осень,12,16,643776.0,4
Сплав по реке к Байкалу,Байкал,Лето,6,20,538800.0,4
Домашний очаг Ольхона. Индивидуальный семейный тур,Байкал,Весна,1,14,60400.0,3
Карельские узоры,Карелия,Осень,4,3,78688.0,4
На Байкал на каникулы. Индивидуальный семейный тур,Байкал,Весна,1,14,60400.0,2
Жигулёвские выходные. Национальный туристский маршрут по Самарской области,Самара,Лето,1,19,65594.0,4
Вулканы Камчатки: активный тур без рюкзаков,Камчатка,Лето,12,14,879696.0,3
Кемпинг на озере Лама. Знакомство с плато Путорана,Плато Путорана,Лето,7,14,487088.0,3
Северная столица: Санкт-Петербург на все времена,Санкт-Петербург,Зима,8,17,481472.0,5
На Байкал на каникулы. Индивидуальный семейный тур,Байкал,Весна,8,17,569600.0,4
Лед Байкала и величие Саян,Байкал,Зима,5,8,197600.0,5
Джигитовка для начинающих. Зимний тур на Кавказе,Кавказ,Зима,4,9,155128.0,4
Карельские узоры,Карелия,Весна,12,19,831360.0,4
Вулканы Камчатки,Камчатка,Лето,7,13,481502.0,3
Сказочный Удельный парк: круглый год,Санкт-Петербург,Лето,9,15,520920.0,3
Камчатка: осенние пейзажи и активный отдых,Камчатка,Осень,9,6,317664.0,5
Тайга и народные традиции Сибири,Алтай,Осень,3,9,117048.0,2
Зимние узоры Байкала,Байкал,Зима,4,5,113800.0,5
Сказочная осень в Татарстане,Татарстан,Осень,9,10,346680.0,4
Вулканы Камчатки,Камчатка,Лето,10,15,778300.0,5
Город-герой: исторические маршруты в Новороссийске ,Краснодарский край,Весна,6,11,242159.99999999994,4
Природа и культура Вологодчины,Вологодская область,Весна,8,7,227840.0,4
Мурманск и Кольский полуостров: северное сияние,Мурманская область,Лето,2,5,54580.0,3
Байкал и Саяны. С восхождением на пик Любви,Байкал,Лето,14,5,419300.0,3
Волшебный лед Ольхона,Байкал,Зима,9,15,588150.0,5
Кавказ стал ближе,Кавказ,Осень,10,21,777040.0,2
Ольхон — сердце Байкала,Байкал,Лето,1,3,21970.0,4
Петрозаводск: весеннее пробуждение северной столицы,Карелия,Весна,11,14,590480.0,5
Сплав по реке Верхняя Шуя,Карелия,Лето,2,21,165236.0,4
Мурманск и Кольский полуостров: северное сияние,Мурманская область,Весна,7,21,528640.0,3
Пробуждение природы в Санкт-Петербурге,Санкт-Петербург,Весна,12,17,707520.0,4
Загадочная Москва: исторический тур,Москва,Зима,13,10,465790.0,4
Зимние узоры Байкала,Байкал,Зима,13,12,705640.0,4
Тайны Забайкалья: природа и история,Забайкальский край,Лето,1,18,77032.0,2
"4 столицы: Нижний Новгород, Чебоксары, Йошкар-Ола, Казань",Татарстан,Осень,3,4,64224.0,2
Сибирские каникулы,Сибирь,Зима,9,19,678924.0,2
От бурного Терека до седого Каспия,Кавказ,Осень,4,11,181856.0,5
Лед Байкала и величие Саян,Байкал,Зима,1,3,21070.0,5
Камчатка: природа и активные виды отдыха,Камчатка,Весна,13,15,925600.0,4
Джигитовка для начинающих. Зимний тур на Кавказе,Кавказ,Зима,11,8,391424.0,4
Нижегородские усадьбы,Нижегородская область,Весна,9,17,493920.0,3
Кемпинг на озере Лама. Знакомство с плато Путорана,Плато Путорана,Лето,1,6,35536.0,4
Нижегородские усадьбы,Нижегородская область,Весна,12,15,595200.0,3
Весенние круизы по Волге ,Приволжский федеральный округ,Весна,10,12,416800.0,5
Походы по осенним тропам Кавказа,Краснодарский край,Осень,7,7,209747.99999999997,5
Северное сияние осенью: Мурманск,Мурманская область,Осень,5,18,340160.0,3
Исторические городки Поволжья,Татарстан,Лето,8,21,593912.0,4
Кавказ! Жили-были,Кавказ,Зима,5,10,209900.0,4
Калмыкия на 100%,Калмыкия,Весна,2,4,44960.0,1
Калининградская осень: природа и история,Калининградская область,Осень,6,8,202848.0,2
Вкусы Енисейской Сибири. Гастрономический тур,Сибирь,Лето,2,21,176408.0,2
Джигитовка для начинающих. Зимний тур на Кавказе,Кавказ,Зима,5,15,289850.0,3
Весенние круизы по Волге ,Приволжский федеральный округ,Весна,7,8,217840.0,4
Зимние кочевники Байкала,Байкал,Зима,7,17,509110.0,2
Саяны: осенние краски,Республика Тыва,Осень,5,8,188880.0,4
Золотая моя Казань. Летний тур на 3 дня,Татарстан,Лето,10,12,467080.0,4
Сплав по реке к Байкалу,Байкал,Лето,1,20,89800.0,4
Знакомство с Сахалином,Сахалин,Лето,12,10,630720.0,4
Калининградская область: исторические маршруты,Калининградская область,Осень,4,6,111424.0,5
Северное сияние осенью: Мурманск,Мурманская область,Осень,1,3,19672.0,4
Дальневосточные приключения: экскурсии по Сахалину,Сахалин,Весна,13,7,479440.0,5
Знакомство с Сахалином,Сахалин,Лето,4,16,312384.0,5
Кавказ стал ближе,Кавказ,Весна,5,7,159200.0,5
Долина гейзеров и вулканов Камчатки,Камчатка,Осень,5,17,408360.0,4
Карельские узоры,Карелия,Лето,4,13,219816.0,5
Дагестан стал ближе,Дагестан,Лето,5,8,183000.0,3
Петрозаводск: весеннее пробуждение северной столицы,Карелия,Весна,6,8,209760.0,4
Загадочная Москва: исторический тур,Москва,Зима,10,19,590770.0,4
Природа и культура Вологодчины,Вологодская область,Лето,9,3,169002.0,4
Байкальское путешествие. Пеший тур-комфорт,Байкал,Лето,10,4,259600.0,4
Калуга и другие города Центральной России,Калужская область,Лето,6,16,328128.0,2
Города Золотой Руси. Летнее путешествие,Золотое кольцо,Лето,5,9,181670.0,4
Сокровища Карелии и Соловки,Карелия,Лето,8,11,384304.0,5
Нижегородские усадьбы,Нижегородская область,Осень,3,15,152760.0,3
Зимняя сказка. Приключения на Камчатке,Камчатка,Зима,14,15,1018220.0,4
Золотая осень в Карелии,Карелия,Осень,9,5,235080.0,4
В Карелию летом на 4 дня,Карелия,Лето,6,21,495708.0,3
Северное сияние осенью: Мурманск,Мурманская область,Осень,6,13,311472.0,4
Сказочная осень в Татарстане,Татарстан,Осень,6,14,299567.99999999994,4
Восхождение на Белуху за 10 дней,Алтай,Лето,14,12,720944.0,2
Невская улица: гастрономический тур по Санкт-Петербургу,Санкт-Петербург,Лето,3,10,125760.0,4
Жигулёвские выходные. Национальный туристский маршрут по Самарской области,Самара,Лето,5,6,137780.00000000003,5
Домашний очаг Ольхона. Индивидуальный семейный тур,Байкал,Весна,2,15,128000.0,3
Тайны Урала: золотое кольцо Урала,Свердловская область,Осень,6,3,111336.0,4
Мурманск и Кольский полуостров: северное сияние,Мурманская область,Лето,10,11,480380.0,4
Нижегородские загадки.,Нижегородская область,Лето,14,6,385784.00000000006,4
Зеленая весна в Краснодаре,Краснодарский край,Весна,1,10,37600.0,5
Домашний очаг Ольхона. Индивидуальный семейный тур,Байкал,Весна,10,19,784000.0,3
Золотая осень в Карелии,Карелия,Осень,4,8,143168.0,2
"4 столицы: Нижний Новгород, Чебоксары, Йошкар-Ола, Казань",Татарстан,Зима,3,13,140330.99999999997,4
Знакомство с Сахалином,Сахалин,Лето,1,7,39792.0,4
Поход к подножию Белухи. Алтай,Алтай,Лето,4,14,233648.0,3
Знакомство с Сахалином,Сахалин,Лето,11,9,531344.0,4
Сердце России: Гора Белуха и Алтай,Алтай,Зима,11,19,778382.0,4
Поход к подножию Белухи. Алтай,Алтай,Лето,5,4,119160.0,5
Нижегородские усадьбы,Нижегородская область,Лето,3,12,135336.00000000003,4
Вулканы Камчатки: активный тур без рюкзаков,Камчатка,Лето,12,3,282792.0,4
Большое путешествие по Смоленской земле,Смоленская область,Лето,13,10,510380.0,2
Карельские узоры,Карелия,Весна,12,13,606720.0,3
Зимние кочевники Байкала,Байкал,Зима,3,10,140700.0,5
Живописный каскад Поволжья,Нижегородская область,Осень,3,12,128208.0,5
Ледовый экспресс Байкала,Байкал,Зима,14,16,966560.0,3
Пробуждение природы в Санкт-Петербурге,Санкт-Петербург,Весна,2,3,37280.0,4
В Карелию летом на 4 дня,Карелия,Лето,14,20,1108240.0,3
Мурманск и Кольский полуостров: северное сияние,Мурманская область,Зима,9,6,262692.0,5
Джигитовка для начинающих. Зимний тур на Кавказе,Кавказ,Зима,12,15,695640.0,5
Калининградская осень: природа и история,Калининградская область,Осень,5,19,332720.0,4
Калуга и другие города Центральной России,Калужская область,Лето,11,8,355784.0,4
Байкал и Саяны. С восхождением на пик Любви,Байкал,Лето,1,9,45910.0,2
Весенние круизы по Волге ,Приволжский федеральный округ,Весна,13,9,438880.0,5
От бурного Терека до седого Каспия,Кавказ,Осень,4,20,297920.0,5
Горнолыжка для начинающих. Активный тур на Домбай,Домбай,Зима,2,8,71168.0,4
Восхождение на Белуху за 10 дней,Алтай,Лето,1,19,75702.0,4
Кавказ! Жили-были,Кавказ,Лето,6,14,350472.0,4
"4 столицы: Нижний Новгород, Чебоксары, Йошкар-Ола, Казань",Татарстан,Зима,1,18,60922.0,4
Вулканы Камчатки: активный тур без рюкзаков,Камчатка,Лето,6,21,629772.0,3
Большое путешествие по Смоленской земле,Смоленская область,Зима,14,5,329420.0,5
Вкусы Енисейской Сибири. Гастрономический тур,Сибирь,Лето,1,11,50964.0,4
Сибирские просторы: экскурсия по Красноярскому краю,Красноярский край,Весна,7,9,281680.0,5
Я шагаю по Москве. Сокращённая программа,Москва,Лето,14,8,452816.0,5
Карельские узоры,Карелия,Осень,8,12,389504.0,4
"Костромская область: говорят, что здесь живут сказки",Костромская область,Зима,7,7,202594.00000000003,4
Тайга и народные традиции Сибири,Алтай,Осень,6,16,369504.0,2
Кавказские горы: экотуризм и медицинские маршруты,Краснодарский край,Весна,9,15,462600.0,4
Нижегородские усадьбы,Нижегородская область,Зима,10,11,397660.0,4
Живописный каскад Поволжья,Нижегородская область,Осень,1,13,45464.00000000001,3
Камчатка: осенние пейзажи и активный отдых,Камчатка,Осень,12,15,878880.0,5
Настоящая осень в Нижнем Новгороде,Нижегородская область,Осень,14,12,598304.0,5
Тайны Урала: золотое кольцо Урала,Свердловская область,Осень,14,15,738920.0,4
Восхождение на Белуху за 10 дней,Алтай,Лето,1,15,61870.0,4
Путешествие в древность. Тур в Ульяновскую область,Ульяновская область,Осень,11,4,230032.0,4
Нижегородские загадки.,Нижегородская область,Осень,5,7,145480.00000000003,2
Кострома и ее усадьбы: время путешествий,Костромская область,Зима,2,9,68708.0,3
Горнолыжка для начинающих. Активный тур на Домбай,Домбай,Зима,10,8,355840.0,3
Петрозаводск: весеннее пробуждение северной столицы,Карелия,Весна,12,9,456960.0,5
Калмыкия на 100%,Калмыкия,Весна,8,4,179840.0,5
Походы по осенним тропам Кавказа,Краснодарский край,Осень,7,17,409388.0,3
Зима в Карелии 3 дня,Карелия,Зима,6,12,290256.0,3
Походы по осенним тропам Кавказа,Краснодарский край,Осень,9,14,449351.99999999994,4
Карельские узоры,Карелия,Весна,4,8,139840.0,4
Кавказ стал ближе,Кавказ,Весна,2,14,107360.0,5
Активная зимняя программа на Эльбрусе,Эльбрус,Зима,3,4,69852.0,5
Сокровища Карелии и Соловки,Карелия,Лето,4,21,330472.0,4
Активная зимняя программа. На снежной волне Архыза,Архыз,Зима,4,9,146272.0,4
Байкал: активный тур на круглый год,Байкал,Лето,5,9,229550.0,4
Северная столица: Санкт-Петербург на все времена,Санкт-Петербург,Весна,10,8,330400.0,1
Кочевники Байкала,Байкал,Лето,14,19,1201340.0,5
Город-герой: исторические маршруты в Новороссийске ,Краснодарский край,Осень,1,4,21408.0,4
Зимние кочевники Байкала,Байкал,Зима,10,3,210700.0,3
Кострома и ее усадьбы: время путешествий,Костромская область,Лето,14,10,549640.0,4
Кочевники Байкала,Байкал,Лето,7,11,377230.0,3
Волшебный лед Ольхона,Байкал,Зима,2,16,138080.0,4
Живописный каскад Поволжья,Нижегородская область,Осень,3,16,160944.0,4
Настоящая осень в Нижнем Новгороде,Нижегородская область,Осень,1,15,50920.0,3
Калининградская осень: природа и история,Калининградская область,Осень,13,3,246064.0,3
Природа и культура Вологодчины,Вологодская область,Лето,1,13,48038.00000000001,3
Северный Кавказ: культурные традиции и активные приключения,Кавказ,Лето,6,20,474960.0,4
Активный треккинг на Байкале,Байкал,Лето,5,8,209600.0,3
Зеленая весна в Краснодаре,Краснодарский край,Весна,4,5,95200.0,4
Зимняя сказка. Приключения на Камчатке,Камчатка,Зима,11,15,800030.0,2
Засечная черта. Тихонова Пустынь – Калуга – Оптина пустынь – Козельск – Серпухов,Калужская область,Осень,2,17,108536.0,4
"Костромская область: говорят, что здесь живут сказки",Костромская область,Весна,4,19,240640.0,5
Активный треккинг на Байкале,Байкал,Лето,3,15,209550.0,4
Домашний очаг Ольхона. Индивидуальный семейный тур,Байкал,Весна,13,3,270400.0,3
Водный мир Приладожья,Карелия,Лето,5,5,136450.0,4
Камчатка: Толбачинское кольцо. Поход к спящему вулкану,Камчатка,Лето,2,5,65220.0,3
Ледниковый период на зимнем Байкале,Байкал,Зима,11,12,597080.0,4
Зимние кочевники Байкала,Байкал,Зима,7,3,147490.0,3
Дагестан стал ближе,Дагестан,Лето,11,11,512325.0,2
Город-герой: исторические маршруты в Новороссийске ,Краснодарский край,Весна,14,6,371839.99999999994,3
Дагестан стал ближе,Дагестан,Зима,6,16,355200.0,4
Северный Кавказ: культурные традиции и активные приключения,Кавказ,Зима,10,9,387820.0,4
Путешествие в древность. Тур в Ульяновскую область,Ульяновская область,Осень,9,5,212760.0,4
Горнолыжка для начинающих. Активный тур на Домбай,Домбай,Зима,9,5,233910.0,3
Тайны Забайкалья: природа и история,Забайкальский край,Весна,7,6,211120.0,4
В Карелию летом на 4 дня,Карелия,Лето,4,13,219816.0,4
Зимняя сказка. Приключения на Камчатке,Камчатка,Зима,7,18,596932.0,2
Тайга и озера: путешествие по Тверской области,Тверская область,Лето,4,17,238968.0,3
Петрозаводск: весеннее пробуждение северной столицы,Карелия,Весна,7,18,463120.0,3
Зима в Карелии 3 дня,Карелия,Зима,13,21,1003054.0,5
Северная столица: Санкт-Петербург на все времена,Санкт-Петербург,Весна,8,8,264320.0,4
На Байкал на каникулы. Индивидуальный семейный тур,Байкал,Весна,3,11,148800.0,4
Сердце России: Гора Белуха и Алтай,Алтай,Лето,12,17,825432.0,5
Байкал: активный тур на круглый год,Байкал,Весна,4,10,184000.0,5
Дагестан стал ближе,Дагестан,Зима,5,9,188375.0,4
Северная столица: Санкт-Петербург на все времена,Санкт-Петербург,Лето,8,13,411968.0,3
Города Золотой Руси. Летнее путешествие,Золотое кольцо,Лето,13,5,320190.0,4
Долина гейзеров и вулканов Камчатки,Камчатка,Осень,8,10,417280.0,5
Карельские узоры,Карелия,Зима,14,21,1080212.0,2
Поход к подножию Белухи. Алтай,Алтай,Лето,11,3,224114.0,5
Северное сияние осенью: Мурманск,Мурманская область,Осень,6,15,350160.0,5
Я шагаю по Москве. Сокращённая программа,Москва,Зима,14,14,646268.0,4
Домашний очаг Ольхона. Индивидуальный семейный тур,Байкал,Весна,14,13,795200.0,5
"Костромская область: говорят, что здесь живут сказки",Костромская область,Лето,2,8,66816.0,4
